ShortName;Title;Year;FirstAuthor;SecondAuthor;ThirdAuthor;Journal;;ClaimsTags;REFnr;Vancouver-style reference;Abstract;LLM_Summary;DOI
Raasch_2023;;2023;Raasch;;;;;burden_diag;;;;;10.1016/j.waojou.2023.100792
Guryanova_2021;Hereditary angioedema due to C1 inhibitor deficiency in Belarus: epidemiology, access to diagnosis and seven novel SERPING1 mutations;2021;Guryanova;Drozdov;Krapivina;Clinical and Molecular Allergy;;;Guryanova I, Drozdov C, Krapivina O, et al. Hereditary angioedema due to C1 inhibitor deficiency in Belarus: epidemiology, access to diagnosis and seven novel mutations in SERPING1 gene. Clin Mol Allergy. 2021;19(1):3.;Cross‑sectional registry of 64 Belarusian C1‑INH‑HAE patients: prevalence ≈1:148 000; diagnostic delay 19 y; 24 SERPING1 variants (7 novel) identified; limited access to on‑demand and prophylactic therapy; 368 attacks/year reported among 32 respondents.;Highlights diagnostic gaps and treatment inequities in Belarus, identifies novel mutations, and underscores need for improved access to effective HAE therapies.;10.1186/s12948-021-00141-0
Riedl_2024;Hereditary angioedema outcomes in US patients switched from injectable long-term prophylactic medication to oral berotralstat;2024;Riedl;;;Annals of Allergy, Asthma and Immunology;;;;;;;10.1016/j.anai.2023.11.016
Sandberg_2024;;2024;Sandberg;;;Acta Dermato-Venereologica;;;;;Abstract is missing (Short communication);;10.2340/actadv.v104.24176
Sarkar_2023;Hereditary Angioedema: A Disease Often Misdiagnosed and Mistreated;2023;Sarkar;;;Primary Care: Clinics in Office Practice;;;;;;;10.1016/j.pop.2022.11.005
Sundler Björkman_2022;Comorbidities in hereditary angioedema-A population-based cohort study;2022;Sundler Björkman;;;Clinical and Translational Allergy;;;;;"AbstractBackgroundIn hereditary angioedema (HAE), low levels (type 1) or defect in function (type 2) of the serine‐protease inhibitor C1 Inhibitor protein results in activation of the classical pathway of the complement system as well as the contact system. Here, we investigated the risk of comorbidities in HAE.MethodsIndividuals with HAE (n = 239; identified through a physician made diagnosis) and a control cohort from the general population (n = 2383; matched for age, gender, and county of residence) were compared with the Swedish inpatient, cause of death, cancer, and prescription registers. Conditional logistic regression was used to analyze the data.ResultsIncreased risk of cardiovascular disease (odds ratio [OR] 1.83; 95% confidence interval [CI] 1.32–2.54), including arterial (OR 6.74; 95% CI 1.89–24.06) and venous thromboembolic disease (OR 4.20; 95% CI 2.42–7.23) as well as hypertension (OR 1.64; 95% CI 1.12–2.39) was seen in HAE. There was also an increased number of individuals diagnosed with hyperlipidemia (OR 2.01; 95% CI 1.16–3.50) among HAE patients. Furthermore, the risk of autoimmune disease was increased (OR 1.65; 95% CI 1.15–2.35) being particularly pronounced for systemic lupus erythematosus (OR 71.87; 95% CI 8.80–586.7). The risk of having two or more autoimmune diseases was also higher among HAE patients (p = 0.017). In contrast, the risk of cancer was not increased. Data from the prescription register revealed higher prescription rates of drugs against hypertension, hypothyroidism, and hyperlipidemia among HAE patients.ConclusionsThe results warrant for awareness and prevention of comorbid conditions, in particular, thromboembolic and autoimmune diseases in HAE. Future prophylactic interventions may modify these risks.";;10.1002/clt2.12135
Sundler Björkman_2023;Trends in Treatments With Disease-Specific and Interfering Drugs in Patients With Hereditary Angioedema in Sweden;2023;Sundler Björkman;;;The Journal of Allergy and Clinical Immunology: In Practice;;;;;;;10.1016/j.jaip.2022.11.034
Wedner_2021;;2021;Wedner;;;The Journal of Allergy and Clinical Immunology: In Practice;;;;;;;10.1016/j.jaip.2021.03.057
Zanichelli_2016;;2016;Zanichelli;;;Annals of Allergy, Asthma and Immunology;;;;;;;10.1016/j.anai.2016.08.014
Zarnowski_2021;;2021;Zarnowski;;;International Archives of Allergy and Immunology;;;;;"&lt;b&gt;&lt;i&gt;Background:&lt;/i&gt;&lt;/b&gt; Hereditary angioedema (HAE) is associated with relevant disease-related burden. We aimed at investigating prevalence of depression and anxiety in patients with HAE in Leipzig, Germany. &lt;b&gt;&lt;i&gt;Methods:&lt;/i&gt;&lt;/b&gt; Questionnaire-based evaluation of medical history, Angioedema Control Test (AECT), Angioedema Quality of Life Questionnaire (AE-QoL), Generalized Anxiety Disorder Scale-7 (GAD-7), and Hospital Anxiety and Depression Scale (HADS). &lt;b&gt;&lt;i&gt;Results:&lt;/i&gt;&lt;/b&gt; Thirty-seven patients with HAE were included (31 females, mean age 49.6 ± 17.5 years). A mean diagnostic delay between first symptoms and correct diagnosis of 14.2 ± 14.5 years was detected. Patients aged &amp;#x3c;50 years (&lt;i&gt;n&lt;/i&gt; = 18) had been diagnosed significantly earlier with HAE than older patients (&lt;i&gt;p&lt;/i&gt; = &amp;#x3c;0.001). In 6 patients (16.2%), unnecessary medical interventions were performed and 14 patients (43.8%) reported at least 1 HAE-related death of a family member. Psychological stress was the most common triggering factor (96.2%). HADS scores revealed depression in 5/37 patients (13.5%) and anxiety in 16/37 (43.2%), GAD-7 score indicated anxiety in 9/36 (25%) participants. Patients receiving long-term prophylactic treatment (&lt;i&gt;n&lt;/i&gt; = 17, 45.9%) showed significantly better disease control (AECT; &lt;i&gt;p&lt;/i&gt; = &amp;#x3c;0.001) and quality of life (AE-QoL; &lt;i&gt;p&lt;/i&gt; = &amp;#x3c;0.001) compared to those with on-demand treatment only. Patients with long-term prophylactic treatment showed significantly lower scores for anxiety and depression at GAD-7 (&lt;i&gt;p&lt;/i&gt; = 0.011) and HADS (anxiety: &lt;i&gt;p&lt;/i&gt; = 0.021; depression: &lt;i&gt;p&lt;/i&gt; = 0.008). In 5 patients, treatment regime was changed as AECT score indicated insufficient disease control. Subsequently, we measured significant improvement of quality of life (AE-QoL, &lt;i&gt;p&lt;/i&gt; = 0.04) and disease control (AECT; &lt;i&gt;p&lt;/i&gt; = 0.032). &lt;b&gt;&lt;i&gt;Conclusion:&lt;/i&gt;&lt;/b&gt; Anxiety was a frequent burden in our study group and showed a significant association with low disease control. Our data indicate that prophylactic HAE treatment can improve psychosocial burden of HAE.";;10.1159/000514973
